Website,Year,Genre,Genre Slug,Release Date,Reason,Status Code,Listed Name,Listed Area
https://tabelog.com/tokyo/A1307/A130703/13213368/,2023,フレンチ TOKYO,french_tokyo,発表日：2023年6月12日,http_404,404,Ode,
https://tabelog.com/osaka/A2701/A270101/27113792/,2023,焼き鳥 WEST,yakitori_west,発表日：2023年7月18日,http_404,404,吾一 堂山店,
