Year,Genre,Genre Slug,Release Date,URL
2020,パン EAST,bread_east,,https://award.tabelog.com/hyakumeiten/bread_east/2020
2020,パン TOKYO,bread_tokyo,,https://award.tabelog.com/hyakumeiten/bread_tokyo/2020
2020,パン WEST,bread_west,,https://award.tabelog.com/hyakumeiten/bread_west/2020
2020,カレー EAST,curry_east,,https://award.tabelog.com/hyakumeiten/curry_east/2020
2020,カレー TOKYO,curry_tokyo,,https://award.tabelog.com/hyakumeiten/curry_tokyo/2020
2020,カレー WEST,curry_west,,https://award.tabelog.com/hyakumeiten/curry_west/2020
2020,ラーメン EAST,ramen_east,,https://award.tabelog.com/hyakumeiten/ramen_east/2020
2020,ラーメン TOKYO,ramen_tokyo,,https://award.tabelog.com/hyakumeiten/ramen_tokyo/2020
2020,ラーメン WEST,ramen_west,,https://award.tabelog.com/hyakumeiten/ramen_west/2020
2020,スイーツ EAST,sweets_east,,https://award.tabelog.com/hyakumeiten/sweets_east/2020
2020,スイーツ TOKYO,sweets_tokyo,,https://award.tabelog.com/hyakumeiten/sweets_tokyo/2020
2020,スイーツ WEST,sweets_west,,https://award.tabelog.com/hyakumeiten/sweets_west/2020
2020,うどん EAST,udon_east,,https://award.tabelog.com/hyakumeiten/udon_east/2020
2020,うどん WEST,udon_west,,https://award.tabelog.com/hyakumeiten/udon_west/2020
2020,焼肉 EAST,yakiniku_east,,https://award.tabelog.com/hyakumeiten/yakiniku_east/2020
2020,焼肉 TOKYO,yakiniku_tokyo,,https://award.tabelog.com/hyakumeiten/yakiniku_tokyo/2020
2020,焼肉 WEST,yakiniku_west,,https://award.tabelog.com/hyakumeiten/yakiniku_west/2020
