Year,Genre,Genre Slug,Release Date,URL
2021,中国料理 EAST,chinese_east,発表日：2021年4月27日,https://award.tabelog.com/hyakumeiten/chinese_east/2021
2021,中国料理 TOKYO,chinese_tokyo,発表日：2021年4月27日,https://award.tabelog.com/hyakumeiten/chinese_tokyo/2021
2021,中国料理 WEST,chinese_west,発表日：2021年4月27日,https://award.tabelog.com/hyakumeiten/chinese_west/2021
2021,フレンチ EAST,french_east,発表日：2021年3月22日,https://award.tabelog.com/hyakumeiten/french_east/2021
2021,フレンチ TOKYO,french_tokyo,発表日：2021年3月22日,https://award.tabelog.com/hyakumeiten/french_tokyo/2021
2021,フレンチ WEST,french_west,発表日：2021年3月22日,https://award.tabelog.com/hyakumeiten/french_west/2021
2021,餃子,gyoza,発表日：2021年9月8日,https://award.tabelog.com/hyakumeiten/gyoza/2021
2021,ハンバーガー,hamburger,発表日：2021年10月13日,https://award.tabelog.com/hyakumeiten/hamburger/2021
2021,イタリアン EAST,italian_east,発表日：2021年3月8日,https://award.tabelog.com/hyakumeiten/italian_east/2021
2021,イタリアン TOKYO,italian_tokyo,発表日：2021年3月8日,https://award.tabelog.com/hyakumeiten/italian_tokyo/2021
2021,イタリアン WEST,italian_west,発表日：2021年3月8日,https://award.tabelog.com/hyakumeiten/italian_west/2021
2021,日本料理 EAST,japanese_east,発表日：2021年4月1日,https://award.tabelog.com/hyakumeiten/japanese_east/2021
2021,日本料理 TOKYO,japanese_tokyo,発表日：2021年4月1日,https://award.tabelog.com/hyakumeiten/japanese_tokyo/2021
2021,日本料理 WEST,japanese_west,発表日：2021年4月1日,https://award.tabelog.com/hyakumeiten/japanese_west/2021
2021,喫茶店,kissaten,発表日：2021年6月29日,https://award.tabelog.com/hyakumeiten/kissaten/2021
2021,ピザ,pizza,発表日：2021年6月15日,https://award.tabelog.com/hyakumeiten/pizza/2021
2021,ラーメン EAST,ramen_east,発表日：2021年11月24日,https://award.tabelog.com/hyakumeiten/ramen_east/2021
2021,ラーメン TOKYO,ramen_tokyo,発表日：2021年11月24日,https://award.tabelog.com/hyakumeiten/ramen_tokyo/2021
2021,ラーメン WEST,ramen_west,発表日：2021年11月24日,https://award.tabelog.com/hyakumeiten/ramen_west/2021
2021,寿司 EAST,sushi_east,発表日：2021年6月3日,https://award.tabelog.com/hyakumeiten/sushi_east/2021
2021,寿司 TOKYO,sushi_tokyo,発表日：2021年6月3日,https://award.tabelog.com/hyakumeiten/sushi_tokyo/2021
2021,寿司 WEST,sushi_west,発表日：2021年6月3日,https://award.tabelog.com/hyakumeiten/sushi_west/2021
2021,とんかつ,tonkatsu,発表日：2021年4月13日,https://award.tabelog.com/hyakumeiten/tonkatsu/2021
2021,焼肉 EAST,yakiniku_east,発表日：2021年11月10日,https://award.tabelog.com/hyakumeiten/yakiniku_east/2021
2021,焼肉 TOKYO,yakiniku_tokyo,発表日：2021年11月10日,https://award.tabelog.com/hyakumeiten/yakiniku_tokyo/2021
2021,焼肉 WEST,yakiniku_west,発表日：2021年11月10日,https://award.tabelog.com/hyakumeiten/yakiniku_west/2021
